"","CN","STATECD","COUNTYCD","PLOT","LAT","LON","TREE","MEASYEAR","STATUSCD","SPCD","DIA","MEASYEAR.1","STATUSCD.1","SPCD.1","DIA.1","Temp","Seas","Prec","UN"
"340",2.42382e+14,27,87,20230,47.225517,-95.751909,2,2007,1,951,5.9,2012,1,951,6.1,37,12267,626,1398
"341",2.42382e+14,27,87,20230,47.225517,-95.751909,3,2007,1,318,7.8,2012,1,318,8.1,37,12267,626,1398
"342",2.42382e+14,27,87,20230,47.225517,-95.751909,4,2007,1,951,15.9,2012,1,951,16.3,37,12267,626,1398
"343",2.42382e+14,27,87,20230,47.225517,-95.751909,5,2007,1,543,17.2,2012,1,543,18,37,12267,626,1398
"344",2.42382e+14,27,87,20230,47.225517,-95.751909,8,2007,1,543,14.7,2012,1,543,15.4,37,12267,626,1398
"345",2.42382e+14,27,87,20230,47.225517,-95.751909,9,2007,1,543,17.4,2012,1,543,18.2,37,12267,626,1398
"346",2.42382e+14,27,87,20230,47.225517,-95.751909,10,2007,1,318,16.7,2012,1,318,17.6,37,12267,626,1398
"347",2.42382e+14,27,87,20230,47.225517,-95.751909,3,2007,1,318,5.6,2012,1,318,6.4,37,12267,626,1398
"348",2.42382e+14,27,87,20230,47.225517,-95.751909,4,2007,1,318,17.3,2012,1,318,17.5,37,12267,626,1398
"349",2.42382e+14,27,87,20230,47.225517,-95.751909,5,2007,1,318,13.6,2012,1,318,14,37,12267,626,1398
"350",2.42382e+14,27,87,20230,47.225517,-95.751909,1,2007,1,543,16,2012,1,543,16.7,37,12267,626,1398
