"","CN","STATECD","COUNTYCD","PLOT","LAT","LON","TREE","MEASYEAR","STATUSCD","SPCD","DIA","MEASYEAR.1","STATUSCD.1","SPCD.1","DIA.1","Temp","Seas","Prec","UN"
"252",1.68997e+14,42,87,1488,40.66582,-77.53236,10,2005,1,832,6.7,2010,2,832,6.7,103,8936,1010,11
"253",1.68997e+14,42,87,1488,40.66582,-77.53236,3,2005,1,802,9,2010,1,802,9.4,103,8936,1010,11
"254",1.68997e+14,42,87,1488,40.66582,-77.53236,4,2005,1,316,5.4,2010,2,316,5.4,103,8936,1010,11
"255",1.68997e+14,42,87,1488,40.66582,-77.53236,5,2005,1,832,11.1,2010,1,832,11.8,103,8936,1010,11
"256",1.68997e+14,42,87,1488,40.66582,-77.53236,6,2005,1,802,7.5,2010,1,802,7.8,103,8936,1010,11
"257",1.68997e+14,42,87,1488,40.66582,-77.53236,9,2005,1,837,13.8,2010,1,837,14.7,103,8936,1010,11
"258",2.31737e+14,27,87,20310,47.392357,-95.576106,3,2010,1,105,6.9,2014,1,105,7.3,34,12166,625,1393
"259",2.31737e+14,27,87,20310,47.392357,-95.576106,4,2010,1,105,7.3,2014,1,105,7.4,34,12166,625,1393
"260",2.31737e+14,27,87,20310,47.392357,-95.576106,5,2010,1,125,7.6,2014,1,125,8.2,34,12166,625,1393
"261",2.31737e+14,27,87,20310,47.392357,-95.576106,8,2010,1,125,9.4,2014,1,125,10.3,34,12166,625,1393
"262",2.31737e+14,27,87,20310,47.392357,-95.576106,10,2010,1,105,5.2,2014,2,105,5.2,34,12166,625,1393
"263",2.31737e+14,27,87,20315,47.481963,-95.561465,1,2010,1,972,6.1,2014,1,972,6.3,34,12173,620,1394
"264",2.31737e+14,27,87,20315,47.481963,-95.561465,2,2010,1,951,8.3,2014,1,951,8.4,34,12173,620,1394
"265",2.31737e+14,27,87,20315,47.481963,-95.561465,3,2010,1,951,7,2014,1,951,7.2,34,12173,620,1394
"266",2.31737e+14,27,87,20315,47.481963,-95.561465,8,2010,1,972,5.9,2014,1,972,6.1,34,12173,620,1394
"267",2.31737e+14,27,87,20315,47.481963,-95.561465,10,2010,1,972,7,2014,1,972,7.2,34,12173,620,1394
"268",2.31737e+14,27,87,20315,47.481963,-95.561465,4,2010,1,951,6,2014,1,951,6,34,12173,620,1394
"269",2.31737e+14,27,87,20315,47.481963,-95.561465,6,2010,1,951,11.2,2014,1,951,11.6,34,12173,620,1394
"270",2.31737e+14,27,87,20315,47.481963,-95.561465,9,2010,1,951,9.3,2014,1,951,9.6,34,12173,620,1394
"271",2.31737e+14,27,87,20315,47.481963,-95.561465,10,2010,1,951,9.4,2014,1,951,9.4,34,12173,620,1394
"272",1.71257e+14,27,87,20333,47.286675,-95.667982,1,2009,1,318,8.5,2014,1,318,8.6,36,12206,630,1395
"273",1.71257e+14,27,87,20333,47.286675,-95.667982,2,2009,1,318,9.5,2014,1,318,9.8,36,12206,630,1395
"274",1.71257e+14,27,87,20333,47.286675,-95.667982,4,2009,1,318,14.5,2014,1,318,14.6,36,12206,630,1395
"275",1.71257e+14,27,87,20333,47.286675,-95.667982,6,2009,1,318,8.9,2014,1,318,9.1,36,12206,630,1395
"276",1.71257e+14,27,87,20333,47.286675,-95.667982,7,2009,1,318,7.6,2014,1,318,7.8,36,12206,630,1395
"277",1.71257e+14,27,87,20333,47.286675,-95.667982,9,2009,1,318,7.7,2014,1,318,7.7,36,12206,630,1395
"278",1.71257e+14,27,87,20333,47.286675,-95.667982,10,2009,1,318,10.2,2014,1,318,10.6,36,12206,630,1395
"279",1.71257e+14,27,87,20333,47.286675,-95.667982,1,2009,1,951,6.2,2014,1,951,6.2,36,12206,630,1395
"280",1.71257e+14,27,87,20333,47.286675,-95.667982,2,2009,1,746,7.7,2014,1,746,8.1,36,12206,630,1395
"281",1.71257e+14,27,87,20333,47.286675,-95.667982,5,2009,1,951,5.3,2014,2,951,5.1,36,12206,630,1395
"282",1.71257e+14,27,87,20333,47.286675,-95.667982,7,2009,1,746,9,2014,1,746,9.9,36,12206,630,1395
"283",2.31737e+14,27,87,20315,47.481963,-95.561465,13,2010,1,951,5.5,2014,1,951,5.6,34,12173,620,1394
"284",2.31737e+14,27,87,20315,47.481963,-95.561465,16,2010,1,823,9.7,2014,1,823,10,34,12173,620,1394
"285",2.31737e+14,27,87,20315,47.481963,-95.561465,20,2010,1,972,6.9,2014,1,972,7.1,34,12173,620,1394
"286",2.31737e+14,27,87,20315,47.481963,-95.561465,1,2010,1,972,7.2,2014,1,972,7.5,34,12173,620,1394
"287",2.31737e+14,27,87,20315,47.481963,-95.561465,2,2010,1,951,9.4,2014,1,951,9.8,34,12173,620,1394
"288",2.31737e+14,27,87,20315,47.481963,-95.561465,4,2010,1,951,8.9,2014,1,951,9.1,34,12173,620,1394
"289",2.31737e+14,27,87,20315,47.481963,-95.561465,7,2010,1,951,6.1,2014,1,951,6.1,34,12173,620,1394
"290",2.31737e+14,27,87,20315,47.481963,-95.561465,8,2010,1,951,9.4,2014,1,951,9.8,34,12173,620,1394
